City,State,LATITUDE,LONGITUDE,Country
São Paulo,SP,"-23,567387","-46,570383",Brazil
Rio de Janeiro,RJ,"-22,876652","-43,227875",Brazil
Brasília,DF,"-15,794087","-47,887905",Brazil
Fortaleza,CE,"-3,723805","-38,589928",Brazil
Salvador,BA,"-13,014772","-38,488061",Brazil
Belo Horizonte,MG,"-19,937524","-43,926453",Brazil
Manaus,AM,"-3,134691","-60,023335",Brazil
Curitiba,PR,"-25,432956","-49,271848",Brazil
Recife,PE,"-8,062762","-34,888942",Brazil
Goiânia,GO,"-16,673310","-49,255814",Brazil
Porto Alegre,RS,"-30,030037","-51,228660",Brazil
Belém,PA,"-1,459845","-48,487826",Brazil
Guarulhos,SP,"-23,468506","-46,531084",Brazil
Campinas,SP,"-22,907343","-47,060156",Brazil
São Luís,MA,"-2,531886","-44,297919",Brazil
Maceió,AL,"-9,660822","-35,701630",Brazil
Campo Grande,MS,"-9,956923","-36,790840",Brazil
São Gonçalo,RJ,"-22,829547","-43,032335",Brazil
Teresina,PI,"-5,086342","-42,805270",Brazil
João Pessoa,PB,"-7,149382","-34,873385",Brazil
São Bernardo do Campo,SP,"-23,710305","-46,550257",Brazil
Duque de Caxias,RJ,"-22,785253","-43,309888",Brazil
Nova Iguaçu,RJ,"-22,759835","-43,450345",Brazil
Natal,RN,"-5,750899","-35,252255",Brazil
Santo André,SP,"-7,220489","-36,630975",Brazil
Osasco,SP,"-23,533612","-46,788810",Brazil
Sorocaba,SP,"-23,499323","-47,457853",Brazil
Uberlândia,MG,"-18,918999","-48,277950",Brazil
Ribeirão Preto,SP,"-21,184835","-47,805476",Brazil
São José dos Campos,SP,"-23,184062","-45,884175",Brazil
Cuiabá,MT,"-15,569989","-56,073252",Brazil
Jaboatão dos Guararapes,PE,"-8,165391","-34,921173",Brazil
Contagem,MG,"-19,943446","-44,066345",Brazil
Joinville,SC,"-26,304518","-48,849409",Brazil
Feira de Santana,BA,"-12,229284","-38,960033",Brazil
Aracaju,SE,"-10,907216","-37,048213",Brazil
Londrina,PR,"-23,312156","-51,162773",Brazil
Juiz de Fora,MG,"-21,760924","-43,348817",Brazil
Florianópolis,SC,"-27,587796","-48,547637",Brazil
Aparecida de Goiânia,GO,"-16,822147","-49,243326",Brazil
Serra,ES,"-20,156770","-40,275217",Brazil
Campos dos Goytacazes,RJ,"-21,751899","-41,330476",Brazil
Belford Roxo,RJ,"-22,764556","-43,399625",Brazil
Niterói,RJ,"-22,896452","-43,075823",Brazil
São José do Rio Preto,SP,"-20,812637","-49,381348",Brazil
Ananindeua,PA,"-1,368714","-48,372067",Brazil
Vila Velha,ES,"-20,338374","-40,293957",Brazil
Caxias do Sul,RS,"-29,166899","-51,178860",Brazil
Porto Velho,RO,"-8,768892","-63,831446",Brazil
Mogi das Cruzes,SP,"-23,522707","-46,196760",Brazil
Jundiaí,SP,"-23,187668","-46,885274",Brazil
Macapá,AP,"0,038951","-51,057405",Brazil
São João de Meriti,RJ,"-22,802331","-43,371885",Brazil
Piracicaba,SP,"-22,723722","-47,646846",Brazil
Campina Grande,PB,"-7,221497","-35,883859",Brazil
Santos,SP,"-23,933738","-46,331371",Brazil
Mauá,SP,"-23,669335","-46,458262",Brazil
Montes Claros,MG,"-16,722707","-43,865422",Brazil
Boa Vista,RR,"2,816682","-60,670533",Brazil
Betim,MG,"-19,965379","-44,197551",Brazil
Maringá,PR,"-23,422280","-51,939882",Brazil
Anápolis,GO,"-16,328826","-48,957218",Brazil
Diadema,SP,"-23,689295","-46,623381",Brazil
Carapicuíba,SP,"-23,535250","-46,841445",Brazil
Petrolina,PE,"-9,397376","-40,499999",Brazil
Bauru,SP,"-22,325123","-49,083001",Brazil
Caruaru,PE,"-8,285898","-35,967073",Brazil
